06-02-2021 17:40:31 measurement started
06-02-2021 17:41:45 +22.9 C
06-02-2021 17:41:47 +22.9 C
06-02-2021 17:41:49 +22.9 C
06-02-2021 17:41:51 +22.9 C
06-02-2021 17:41:53 +22.9 C
06-02-2021 17:41:55 +22.9 C
06-02-2021 17:41:57 +22.9 C
06-02-2021 17:41:59 +22.9 C
06-02-2021 17:42:01 +22.9 C
06-02-2021 17:42:03 +22.9 C
06-02-2021 17:42:05 +22.9 C
06-02-2021 17:42:07 +22.9 C
06-02-2021 17:42:09 +22.9 C
06-02-2021 17:42:29 +22.9 C
06-02-2021 17:42:31 +22.9 C
06-02-2021 17:42:33 +22.9 C
06-02-2021 17:42:35 +22.9 C
06-02-2021 17:42:37 +22.9 C
06-02-2021 17:42:39 +22.9 C
06-02-2021 17:42:41 +22.9 C
06-02-2021 17:42:42 new period 1 sec.
06-02-2021 17:42:43 +22.9 C
06-02-2021 17:42:44 +22.9 C
06-02-2021 17:42:45 +22.9 C
06-02-2021 17:42:46 +22.9 C
06-02-2021 17:42:47 +22.9 C
06-02-2021 17:42:48 +22.9 C
06-02-2021 17:42:49 +22.9 C
06-02-2021 17:42:50 +22.9 C
06-02-2021 17:42:51 +22.9 C
06-02-2021 17:42:52 +22.9 C
